row,pair_id,cve_id,cwe_id(정답),commit/출처,language,정답,우리_판정,우리_CWE,우리_정답여부,우리_사유,Claude_판정,Claude_CWE,Claude_정답여부,Claude_사유
53,pv_4606c28f494a_198703,CVE-2015-3885,CWE-189,4606c28f494a750892c5c1ac7903e62dd1c6fdb5,C,safe,vuln,CWE-125,X,The ljpeg_start function in libimageworsener/jhead.c in ImageWorsener before 1.2.1 allows remote attackers to cause a denial of service (out-of-bounds read) via a crafted image.,vuln,CWE-129,X,"len is computed unchecked from file data and used to read into fixed-size data[0x10000] buffer, and jh->clrs/jh->sraw derived from unchecked data can cause out-of-bounds huff/free array access."
54,pv_d563131ef23c_198736,CVE-2019-19071,CWE-401,d563131ef23cbc756026f839a82598c8445bc45f,C,vuln,safe,,X,NONE,vuln,CWE-401,O,"skb is not freed when rsi_prepare_beacon fails, causing a memory leak on error path."
55,pv_d563131ef23c_198736,CVE-2019-19071,CWE-401,d563131ef23cbc756026f839a82598c8445bc45f,C,safe,safe,,O,NONE,vuln,CWE-682,X,"skb_pull with dword_align_bytes derived from pointer misalignment can exceed skb length or reduce available buffer, leading to insufficient space for beacon data and potential buffer overflow in rsi_p"
56,pv_53f82e6e2e85_198743,CVE-2020-15890,CWE-125,53f82e6e2e858a0a62fd1a2ff47e9866693382e6,C,vuln,safe,,X,NONE,vuln,CWE-125,O,"Frame/cframe pointer traversal lacks sufficient bounds validation against stack limits, risking out-of-bounds pointer dereference on malformed stack state."
57,pv_53f82e6e2e85_198743,CVE-2020-15890,CWE-125,53f82e6e2e858a0a62fd1a2ff47e9866693382e6,C,safe,safe,,O,NONE,vuln,CWE-825,X,"Traversal of frame/cframe pointers lacks bounds validation on cf before dereferencing cframe_nres/cframe_errfunc, risking out-of-bounds reads if stack/cframe state is corrupted."
58,pv_8423f0b6d513_199159,CVE-2022-3303,CWE-362,8423f0b6d513b259fdab9c9bf4aaa6188d054c2d,C,vuln,safe,,X,NONE,vuln,CWE-191,O,"If runtime->oss.buffer_used equals period_bytes or width miscalculates, size computation can underflow leading to out-of-bounds write in snd_pcm_format_set_silence."
59,pv_8423f0b6d513_199159,CVE-2022-3303,CWE-362,8423f0b6d513b259fdab9c9bf4aaa6188d054c2d,C,safe,safe,,O,NONE,vuln,CWE-190,X,"When width is 0 (invalid format conversion), division in size calculation causes divide-by-zero or buffer overflow in snd_pcm_format_set_silence due to unchecked runtime->oss.buffer_used/period_bytes "
60,pv_4e061a43b345_199767,CVE-2016-2087,CWE-22,4e061a43b3453a9856d34250c3913175c45afe9d,C,vuln,safe,,X,NONE,vuln,CWE-120,O,"Fixed 256-byte buffer is repeatedly strcat'd with attacker-controlled extensions_str tokens from the server without bounds checking, allowing stack buffer overflow."
61,pv_4e061a43b345_199767,CVE-2016-2087,CWE-22,4e061a43b3453a9856d34250c3913175c45afe9d,C,safe,safe,,O,NONE,vuln,CWE-120,X,fixed 256-byte buffer with strcpy and repeated g_strlcat of attacker-controlled extension strings can silently truncate but the initial strcpy and unbounded loop concatenation of untrusted server-prov
62,pv_feaa4e7f7399_199841,CVE-2022-0419,CWE-476,feaa4e7f7399c51ee6f52deb84dc3f795b4035d6,C,vuln,safe,,X,NONE,vuln,CWE-476,O,"In the ""beach"" label, obj->cache_buf is dereferenced even when obj is NULL (e.g., when prelink_range check fails before obj allocation), causing a crash."
63,pv_feaa4e7f7399_199841,CVE-2022-0419,CWE-476,feaa4e7f7399c51ee6f52deb84dc3f795b4035d6,C,safe,safe,,O,NONE,vuln,CWE-401,X,"On error paths (e.g., missing pending_bin_files or prelink_info failure), rebase_info is not freed, and obj is freed without freeing obj->prelink_info/rebase_info consistently, leaking memory."
64,pv_389ecc365a7c_200113,CVE-2018-14551,CWE-787,389ecc365a7c61404ba078a72c3fa5a3cf1b4101,C,vuln,safe,,X,NONE,vuln,CWE-190,O,"HDR.nRows/nCols and depth are used to compute buffer read sizes (depth/8*image->columns) without validating against allocated quantum pixel buffer size, allowing crafted headers to cause out-of-bounds"
65,pv_389ecc365a7c_200113,CVE-2018-14551,CWE-787,389ecc365a7c61404ba078a72c3fa5a3cf1b4101,C,safe,safe,,O,NONE,vuln,CWE-190,X,"HDR.nRows/nCols and depth are used to compute ReadBlob size and pixel buffer without validating against actual QuantumInfo pixel buffer size, allowing crafted dimensions/depth to cause out-of-bounds r"
66,pv_817b8b9c5396_200163,CVE-2022-27950,CWE-200,817b8b9c5396d2b2d92311b46719aad5d3339dbe,C,vuln,safe,,X,NONE,vuln,CWE-401,O,"On error paths, usb_get_dev(udev) reference is not released via usb_put_dev before kfree(priv), causing a USB device refcount leak."
67,pv_817b8b9c5396_200163,CVE-2022-27950,CWE-200,817b8b9c5396d2b2d92311b46719aad5d3339dbe,C,safe,safe,,O,NONE,vuln,CWE-401,X,"On hid_hw_start failure, priv is freed but the queued/associated delayed_work and drvdata are not cleared, and error path doesn't call hid_hw_stop, risking use-after-free if work was already scheduled"
68,pv_d6d86830705f_200287,CVE-2022-0382,CWE-200,d6d86830705f173fca6087a3e67ceaf68db80523,C,vuln,vuln,CWE-20,O,"The tipc_sendmsg function in net/tipc/socket.c in the Linux kernel before 4.13.11 does not properly validate the destination address, which allows local users to cause a denial of service (system cras",vuln,CWE-457,O,"If ua is NULL and tsk->peer.family == AF_TIPC while syn is true, atype is never set from a validated path, and later skaddr may be used without proper validation of ua->addrtype leading to potential u"
69,pv_d6d86830705f_200287,CVE-2022-0382,CWE-200,d6d86830705f173fca6087a3e67ceaf68db80523,C,safe,vuln,CWE-20,X,"The tipc_sendmsg function in net/tipc/send.c in the Linux kernel before 4.13.11 does not properly validate the destination address, which allows local users to cause a denial of service (system crash)",vuln,CWE-457,X,"When m->msg_name (ua) is NULL and socket is connectionless with peer.family != AF_TIPC, atype is never set before being used in later conditionals, leading to use of uninitialized stack variable."
70,pv_2793769ff107_200305,CVE-2020-16305,CWE-787,2793769ff107d8d22dadd30c6e68cd781b569550,C,vuln,safe,,X,NONE,vuln,CWE-125,O,"The comparison `*from` after incrementing `from += step` can read past `end` before the `from == end` check is evaluated, causing an out-of-bounds read."
71,pv_2793769ff107_200305,CVE-2020-16305,CWE-787,2793769ff107d8d22dadd30c6e68cd781b569550,C,safe,safe,,O,NONE,vuln,CWE-190,X,"Pointer arithmetic on 'from' with attacker-influenced buffer sizes/step could overrun 'end' if step or buffer bounds are miscalculated, though logic mostly guards against it via 'from < end' checks."
72,pv_eb50fb8f3bf6_200320,CVE-2014-0178,CWE-665,eb50fb8f3bf670bd7d1cf8fd4368ef4a73083696,C,vuln,safe,,X,NONE,vuln,CWE-190,O,"In FSCTL_GET_SHADOW_COPY_DATA, labels_data_count computed from num_volumes*2*sizeof(SHADOW_COPY_LABEL) can overflow, and srvstr_push writes into cur_pdata without bounds validation against allocated o"
73,pv_eb50fb8f3bf6_200320,CVE-2014-0178,CWE-665,eb50fb8f3bf670bd7d1cf8fd4368ef4a73083696,C,safe,safe,,O,NONE,parse_fail,,X,
74,pv_48f0ea79f991_200379,CVE-2022-1382,CWE-476,48f0ea79f99174fb0a62cb2354e13496ce5b7c44,C,vuln,safe,,X,NONE,parse_fail,,X,
75,pv_48f0ea79f991_200379,CVE-2022-1382,CWE-476,48f0ea79f99174fb0a62cb2354e13496ce5b7c44,C,safe,safe,,O,NONE,parse_fail,,X,
76,pv_fc739a058d99_200695,CVE-2019-19069,CWE-401,fc739a058d99c9297ef6bfd923b809d85855b9a9,C,vuln,safe,,X,NONE,vuln,CWE-401,O,"On dma_get_sgtable failure, allocated struct 'a' is not freed before returning -EINVAL, causing a memory leak."
77,pv_fc739a058d99_200695,CVE-2019-19069,CWE-401,fc739a058d99c9297ef6bfd923b809d85855b9a9,C,safe,safe,,O,NONE,vuln,CWE-401,X,"If dma_get_sgtable fails path is handled, but no error handling for attachment->priv reuse; minor resource management edge cases exist though largely acceptable."
78,pv_790a85dbd4a8_200781,CVE-2021-39537,CWE-787,790a85dbd4a81d5f5d8dd02a44d84f01512ef443,C,vuln,vuln,CWE-125,O,"The product reads data past the end, or before the beginning, of the intended buffer.",vuln,CWE-125,O,Dereferencing *++sp for '\\' and '^' cases without checking for end-of-string ('\0') can read past the buffer boundary.
79,pv_790a85dbd4a8_200781,CVE-2021-39537,CWE-787,790a85dbd4a81d5f5d8dd02a44d84f01512ef443,C,safe,safe,,O,NONE,vuln,CWE-125,X,"Octal digit loop and backslash/caret handling advance sp without checking for end-of-string, potentially reading past the buffer if input ends mid-escape sequence."
80,pv_524de6cc35d3_200934,CVE-2020-14301,CWE-212,524de6cc35d3b222f0e940bb0fd027f5482572c5,C,vuln,safe,,X,NONE,parse_fail,,X,
81,pv_524de6cc35d3_200934,CVE-2020-14301,CWE-212,524de6cc35d3b222f0e940bb0fd027f5482572c5,C,safe,safe,,O,NONE,vuln,CWE-476,X,"STRNEQ(xml, data->expect) dereferences data->expect without a NULL check, which could crash if expect is NULL while src is non-NULL."
82,pv_a3727a8bac0a_201343,CVE-2021-43057,CWE-416,a3727a8bac0a9e77c70820655fd8715523ba3db7,C,vuln,safe,,X,NONE,safe,,X,"Standard SELinux permission check using proper SID retrieval functions with no evident memory, logic, or access-control flaw."
83,pv_a3727a8bac0a_201343,CVE-2021-43057,CWE-416,a3727a8bac0a9e77c70820655fd8715523ba3db7,C,safe,safe,,O,NONE,safe,,O,Code correctly performs a permission check using task SIDs with no evident memory-safety or logic flaw.
84,pv_8b51dc729147_201353,CVE-2019-15504,CWE-415,8b51dc7291473093c821195c4b6af85fadedbc2f,C,vuln,safe,,X,NONE,vuln,CWE-401,O,"On failure paths, adapter->rsi_dev and usb_set_intfdata are not cleared before freeing rsi_dev, potentially leaving dangling pointers accessible elsewhere."
85,pv_8b51dc729147_201353,CVE-2019-15504,CWE-415,8b51dc7291473093c821195c4b6af85fadedbc2f,C,safe,safe,,O,NONE,vuln,CWE-401,X,"rsi_dev allocated with kzalloc is not freed on the fail_eps error path, causing a memory leak."
86,pv_672214abb47a_201382,CVE-2021-40391,CWE-787,672214abb47a802fc000125996e6e0a46c623a4e,C,vuln,safe,,X,NONE,vuln,CWE-129,O,"tool_num used to index image->aperture[] without bounds check before validation message (out-of-bounds check only logs error but doesn't prevent use, and TOOL_MAX may exceed array size), allowing out-"
87,pv_672214abb47a_201382,CVE-2021-40391,CWE-787,672214abb47a802fc000125996e6e0a46c623a4e,C,safe,safe,,O,NONE,vuln,CWE-129,X,"tool_num bounds check uses TOOL_MIN/TOOL_MAX but image->aperture array indexing and subsequent operations may not fully validate against actual array size, and lack of NULL-check consistency for g_new"
88,pv_20a98e817713_201872,CVE-2014-3566,CWE-310,20a98e817713764b9df5306286091df1b61190d9,C,vuln,safe,,X,NONE,parse_fail,,X,
89,pv_20a98e817713_201872,CVE-2014-3566,CWE-310,20a98e817713764b9df5306286091df1b61190d9,C,safe,safe,,O,NONE,vuln,CWE-125,X,"The initial loop reads data[i+1] for odd datalen before the datalen%2 check occurs, causing a one-byte out-of-bounds read on the attacker-controlled buffer."
90,pv_e6a21a14106d_201925,CVE-2022-3078,CWE-476,e6a21a14106d9718aa4f8e115b1e474888eeba44,C,vuln,safe,,X,NONE,vuln,CWE-690,O,"vzalloc() result for e->encoder_buf is not checked for NULL before use, potentially causing a NULL pointer dereference."
